chainage_m,x_m,y_m,lon,lat,elevation_m,elevation_smooth_m,dem_source
5005.957785252342,354426.18669966696,6354977.942056905,25.44289912906111,-32.93378576481968,690.0,690.0,OpenTopoData srtm30m
5035.957785252425,354455.92134030873,6354973.960707145,25.443216448926226,-32.93382562726735,691.0,691.0,OpenTopoData srtm30m
5065.957785252328,354485.65598095045,6354969.979357386,25.4435337691092,-32.93386548891711,691.0,691.0,OpenTopoData srtm30m
5095.925804130923,354515.1714292895,6354964.790863881,25.44384855516331,-32.93391620555603,693.0,693.0,OpenTopoData srtm30m
5125.925804130952,354544.40760230186,6354958.064335237,25.44416011248799,-32.933980752899075,693.0,693.0,OpenTopoData srtm30m
5155.925804130925,354573.64377531415,6354951.337806594,25.444471670296064,-32.93404529947786,692.0,692.0,OpenTopoData srtm30m
5185.9226224836975,354602.923259003,6354944.816997886,25.444783724175792,-32.93410799605166,691.0,691.0,OpenTopoData srtm30m
5215.922622483773,354632.38980541425,6354939.184712151,25.445097918990918,-32.93416270481488,690.0,690.0,OpenTopoData srtm30m
5245.922622483731,354661.8563518256,6354933.552426417,25.445412114224766,-32.93421741279882,689.0,690.0,OpenTopoData srtm30m
5275.922622483807,354691.32289823686,6354927.920140683,25.44572630987733,-32.93427212000349,690.0,689.0,OpenTopoData srtm30m
5305.922622483765,354720.7894446482,6354922.287854949,25.446040505948595,-32.934326826428844,689.0,689.0,OpenTopoData srtm30m
5335.910287237272,354749.6846217133,6354914.267332538,25.4463482162261,-32.934402991179546,686.0,686.0,OpenTopoData srtm30m
5365.910287237124,354778.509685621,6354905.953747829,25.44665513114039,-32.934481788451805,685.0,685.0,OpenTopoData srtm30m
5395.910287237234,354807.33474952873,6354897.64016312,25.446962046627846,-32.934560584985164,685.0,685.0,OpenTopoData srtm30m
5425.910287237086,354836.15981343645,6354889.326578411,25.447268962688465,-32.9346393807796,687.0,686.0,OpenTopoData srtm30m
5455.7971878197795,354861.71200326126,6354873.824564942,25.44753974981289,-32.93478256012448,686.0,687.0,OpenTopoData srtm30m
5485.797187820232,354886.90885656996,6354857.542102494,25.447806615248943,-32.934932729126785,687.0,686.0,OpenTopoData srtm30m
5515.797187820178,354912.10570987867,6354841.259640047,25.448073481600595,-32.93508289758226,685.0,685.0,OpenTopoData srtm30m
5545.740398018359,354941.00763762114,6354833.4318428,25.448381298958633,-32.935157320509454,685.0,685.0,OpenTopoData srtm30m
5575.740398018247,354970.05758595106,6354825.941815963,25.448690752839052,-32.93522871661738,685.0,685.0,OpenTopoData srtm30m
5605.740398018367,354999.107534281,6354818.451789125,25.4490002072466,-32.93530011197262,684.0,684.0,OpenTopoData srtm30m
5635.269181597188,355028.63473110314,6354818.145672366,25.449315896090464,-32.935306791467774,683.0,684.0,OpenTopoData srtm30m
5665.2691815971275,355058.42018827965,6354821.727088396,25.449634958331877,-32.93527844993506,684.0,684.0,OpenTopoData srtm30m
5695.26918159712,355088.2056454561,6354825.308504428,25.44995402040332,-32.935250107581155,686.0,684.0,OpenTopoData srtm30m
5724.959928119428,355117.8931037795,6354825.750372447,25.4502715405819,-32.935250061219435,683.0,683.0,OpenTopoData srtm30m
5754.959928119443,355147.3972102107,6354820.318273065,25.450586176477966,-32.93530295625685,680.0,681.0,OpenTopoData srtm30m
5784.959928119347,355176.9013166419,6354814.886173683,25.450900812780535,-32.93535585051236,681.0,681.0,OpenTopoData srtm30m
5814.95992811942,355206.4054230731,6354809.454074301,25.451215449489595,-32.935408743985995,683.0,683.0,OpenTopoData srtm30m
5844.675650631546,355229.6406650248,6354790.929828139,25.45146099519242,-32.935578859915594,683.0,683.0,OpenTopoData srtm30m
5874.675650631898,355252.37083952036,6354771.350778943,25.451700975318168,-32.93575841979171,681.0,681.0,OpenTopoData srtm30m
5904.664266709492,355274.6618546123,6354751.290177247,25.45193618474374,-32.9359422632833,681.0,681.0,OpenTopoData srtm30m
5934.664266709499,355296.2468030739,6354730.455350636,25.452163723398034,-32.936132994134375,683.0,683.0,OpenTopoData srtm30m
5964.58344091753,355315.81815873814,6354707.825303734,25.452369449221173,-32.93633964567937,683.0,683.0,OpenTopoData srtm30m
5994.583440917868,355334.04948949785,6354684.000556543,25.45256065911914,-32.93655689224362,685.0,685.0,OpenTopoData srtm30m
6024.020988532597,355345.1274385715,6354656.726974932,25.452674835130384,-32.936804289919415,686.0,685.0,OpenTopoData srtm30m
6054.0209885326,355352.4133959146,6354627.62517386,25.452748175653454,-32.9370676706958,684.0,684.0,OpenTopoData srtm30m
6084.020988532604,355359.6993532577,6354598.523372789,25.45282151658076,-32.937331051431315,682.0,682.0,OpenTopoData srtm30m
6113.350553336886,355360.3401835853,6354569.200809666,25.452823764333647,-32.937595542806804,680.0,682.0,OpenTopoData srtm30m
6143.350553336561,355355.0017788822,6354539.67960652,25.45276204241197,-32.937861033514935,682.0,680.0,OpenTopoData srtm30m
6173.22831853495,355335.9093831641,6354516.697846818,25.452554269660492,-32.93806573527143,680.0,680.0,OpenTopoData srtm30m
6201.760411375795,355328.26406938664,6354489.209130967,25.45246819695363,-32.938312592948556,680.0,680.0,OpenTopoData srtm30m
6231.760411375359,355326.8670421372,6354459.241676707,25.452448550418016,-32.938582629414235,681.0,681.0,OpenTopoData srtm30m
6261.755422924311,355324.3755854799,6354429.350317394,25.452417212363052,-32.93885183472788,681.0,681.0,OpenTopoData srtm30m
6291.755422924962,355321.6119848985,6354399.477880067,25.452382966867557,-32.93912083334353,681.0,681.0,OpenTopoData srtm30m
6321.739001912406,355321.3775013125,6354369.4952179715,25.452375749179897,-32.939391160884355,681.0,681.0,OpenTopoData srtm30m
6351.739001912357,355321.53173984546,6354339.495614466,25.45237268560401,-32.93966169267052,683.0,681.0,OpenTopoData srtm30m
6381.712617333776,355317.3128710521,6354309.820393026,25.45232290839343,-32.93992872011025,680.0,680.0,OpenTopoData srtm30m
