dam_idx,water_start_idx,crest_elevation_m,ponded_length_m,mean_centreline_depth_m,max_centreline_depth_m,upstream_bed_rise_m,dam_chainage_m,lon,lat,bed_elevation_m
449,429,643.5,599.3946263146518,2.6753454949274142,5.5,1.0,13368.68913499605,25.477317522921947,-32.9634360513418,642.0
299,279,670.5,598.7807927964077,1.9251115692433618,3.5,1.0,8881.915103180792,25.45044165915095,-32.95682750946747,669.0
136,116,693.5,598.2650530329083,1.2263083321143102,3.5,1.0,4019.955653224618,25.440873826674387,-32.94185817013576,692.0
341,321,662.5,597.8525472908041,1.1258661385069397,2.5,1.0,10134.955885293959,25.449651661689703,-32.96637571542514,661.0
448,429,643.5,569.3946263147664,2.737271553267479,5.5,1.0,13338.689134996164,25.477125403952076,-32.963219337304565,642.0
399,380,651.5,569.3318505237548,2.263440355746297,4.5,1.0,11871.800067855289,25.463840847874454,-32.95740952773949,650.0
298,279,670.5,568.7810072407428,1.9475336539335684,3.5,1.0,8851.915317625127,25.450414827262236,-32.95655791554639,669.0
135,116,693.5,568.2650530333322,1.2118595287036011,3.5,1.0,3989.9556532250417,25.44067340791546,-32.94206943886118,692.0
82,63,702.5,566.2107532519485,1.9169444414947738,3.5,0.0,2412.0515762656864,25.428445242768692,-32.93776840481809,701.0
81,62,703.5,566.1463523900672,2.8906609013553,4.5,1.0,2382.108410623425,25.428230011929465,-32.93756846400898,702.0
114,95,697.5,561.3081032871978,2.062669935852563,4.5,1.0,3361.7054525297553,25.435057439833592,-32.94185701520148,696.0
447,429,643.5,539.3946263149173,2.8060860070773446,5.5,1.0,13308.689134996315,25.476933285911137,-32.96300262299175,642.0
398,380,651.5,539.3412294130449,2.3058922381561215,4.5,1.0,11841.809446744579,25.46362121905885,-32.957606668658265,650.0
297,279,670.5,538.8319928960482,1.9724081825400683,3.5,1.0,8821.966303280433,25.450401538405284,-32.9562880645691,669.0
134,116,694.5,538.6168531449594,2.2235213503094142,4.5,0.0,3960.307453336669,25.440408062310375,-32.94221581908715,693.0
204,186,685.5,538.2238007124224,2.196857626707296,4.5,1.0,6054.0209885326,25.452748175653454,-32.9370676706958,684.0
203,185,686.5,538.2238007123651,3.141118731548495,5.5,1.0,6024.020988532597,25.452674835130384,-32.936804289919415,685.0
80,62,703.5,536.1463523899058,2.9684751527344524,4.5,1.0,2352.1084106232634,25.428036356392557,-32.93735276476759,702.0
115,97,696.5,535.0000167740841,1.195587419280504,3.5,1.0,3391.7054525294993,25.435337318352506,-32.941989300930466,695.0
334,316,663.5,534.7198861479519,1.7307649550926285,2.5,0.0,9925.82088761726,25.44898744068876,-32.96469190380824,662.0
113,95,697.5,532.8488646208284,2.0927219056662056,4.5,1.0,3333.246213863386,25.434753302934695,-32.94186708431742,696.0
397,380,651.5,509.3412294132231,2.3533589770501875,4.5,1.0,11811.809446744757,25.463391413803144,-32.957795506604,650.0
296,279,670.5,508.8319928960864,2.000260687245051,3.5,1.0,8791.966303280471,25.450415823530946,-32.956017789511456,669.0
202,185,686.5,508.7862530976363,3.236071200305766,5.5,1.0,5994.583440917868,25.45256065911914,-32.93655689224362,685.0
133,116,694.5,508.6605922969684,2.2661312843738672,4.5,0.0,3930.351192488678,25.440131100572284,-32.94235161937564,693.0
79,62,703.5,506.1481539177141,3.0555081859328146,4.5,1.0,2322.1102121510717,25.42784752327399,-32.937134066752485,702.0
333,316,663.5,505.0709158313166,1.7443114553744743,2.5,0.0,9896.171917300624,25.449092719948265,-32.96443968537554,662.0
112,95,697.5,502.8488646208375,2.1280837378608326,4.5,1.0,3303.246213863395,25.434440574289734,-32.94192756847432,696.0
49,32,705.5,498.6706773581693,1.4618632212954799,2.5,1.0,1426.718498807402,25.424592309918886,-32.93005756243826,704.0
396,380,651.5,479.4764146689304,2.4065115555301535,4.5,1.0,11781.944632000464,25.463135985975352,-32.957957263228685,650.0
295,279,670.5,479.44708040159094,2.03092124837897,3.5,1.0,8762.581390785976,25.450474803777645,-32.955757500196356,669.0
337,321,662.5,478.6950604853464,1.2193696720791398,2.5,1.0,10015.798398488501,25.448976954862992,-32.96549088919887,661.0
132,116,694.5,478.6605922967087,2.314148478396741,4.5,0.0,3900.3511924884183,25.43987847333433,-32.942518406243,693.0
24,8,708.5,469.41383602367705,1.436418192814605,2.5,0.0,698.9438489193609,25.421007246064985,-32.931473106047015,707.0
78,63,702.5,446.2728223979202,2.2305990295224376,3.5,0.0,2292.113645411658,25.427662159313357,-32.936913286747924,701.0
22,7,709.5,439.8734817193823,2.398047548042054,3.5,1.0,639.4034946146606,25.42087721844423,-32.93095373086358,708.0
23,8,708.5,439.87348171907695,1.4321482625059105,2.5,0.0,669.4034946147608,25.42098961535125,-32.93120712478892,707.0
378,364,654.5,419.6201604224807,2.67852922152194,4.5,1.0,11242.484574320126,25.459204309638352,-32.96135897822032,653.0
379,365,653.5,419.6201604219823,1.7142758357587586,3.5,0.0,11272.484574320144,25.459482718582002,-32.961224412373696,652.0
151,137,691.5,419.47810386923356,2.3928093058370283,3.5,1.0,4469.426532852967,25.442593604224435,-32.938164514171056,690.0
152,138,690.5,419.46955291325503,1.4285765992949082,2.5,0.0,4499.417845298212,25.442687212331602,-32.937905823903385,689.0
111,97,696.5,416.5546254001297,1.3213717571866097,3.5,1.0,3273.260061155545,25.434133935172795,-32.94200676761581,695.0
21,7,709.5,410.0273017070633,2.463417070185811,3.5,1.0,609.5573146023416,25.4207794431515,-32.9306975175335,708.0
377,364,654.5,389.68902232919754,2.7690494026281547,4.5,1.0,11212.553436226843,25.458934884163863,-32.96150482083465,653.0
150,137,691.5,389.4887941857851,2.4615525794836635,3.5,1.0,4439.437223169519,25.442510515301684,-32.938425727791106,690.0
428,415,646.5,389.10466837630156,2.8482259435497537,4.5,1.0,12739.312864577647,25.471234796353393,-32.96139228635703,645.0
268,255,676.5,388.2891747562262,3.389315811010615,5.5,1.0,7953.98320932171,25.45280843184735,-32.94877271124494,675.0
20,7,709.5,380.0273017071223,2.539470848363549,3.5,1.0,579.5573146024007,25.420750088853598,-32.93042811085683,708.0
38,25,706.5,375.9869657890906,1.3143025348020716,1.5,1.0,1104.930814708566,25.42403638611337,-32.93171782673592,705.0
376,364,654.5,359.6890223289993,2.8748949517432822,4.5,1.0,11182.553436226644,25.45868179761763,-32.96167117322343,653.0
395,383,650.5,359.6852549151572,1.832966189368724,3.5,0.0,11751.948774241222,25.462939444221416,-32.95817108399068,649.0
149,137,691.5,359.6181827363398,2.541421075763304,3.5,1.0,4409.5666117200735,25.44241348574152,-32.938682377952325,690.0
427,415,647.5,359.52810369475264,4.000270174873398,5.5,0.0,12709.736299896098,25.4709367183698,-32.96130285140337,646.0
462,450,640.5,359.16655824542795,1.7078793432999544,2.5,1.0,13757.811990270204,25.477023346112176,-32.96670259930538,639.0
282,270,671.5,359.0928626333525,1.0410284055329346,1.5,1.0,8373.076071955085,25.45163538805131,-32.952399245920155,670.0
475,463,637.5,358.920677631515,3.2927451699898613,4.5,1.0,14146.732667901526,25.47613295698016,-32.96997987986746,636.0
201,189,684.5,358.84304289916327,1.8778896595569254,3.5,1.0,5964.58344091753,25.452369449221173,-32.93633964567937,683.0
128,116,693.5,358.7946503712442,0.8758502671343998,1.5,1.0,3780.4852505629538,25.438991981323127,-32.943297598727916,692.0
267,255,676.5,358.46183701462087,3.5465243475312547,5.5,1.0,7924.155871580105,25.452861616051393,-32.94850748859446,675.0
320,308,664.5,355.67839210679267,1.2052270151248519,2.5,1.0,9507.103338002735,25.452216567302838,-32.962194249220595,663.0
37,25,706.5,348.77911892134557,1.2998164950057125,1.5,1.0,1077.722967840821,25.42375778428607,-32.93178855829728,705.0
319,308,664.5,329.6625757806778,1.1819645631639277,2.5,1.0,9481.08752167662,25.45228373554778,-32.96196657136919,663.0
148,137,691.5,329.62174389290885,2.6361931112499652,3.5,1.0,4379.570172876643,25.442276604185697,-32.93892702812384,690.0
426,415,647.5,329.52810369468716,4.227892961535205,5.5,0.0,12679.736299896033,25.47067362327714,-32.961147926317715,646.0
294,283,669.5,329.50531883045915,1.5454775214313798,2.5,1.0,8732.58139078592,25.450621156304678,-32.95551673148161,668.0
461,450,640.5,329.16655824562076,1.7268253150055763,2.5,1.0,13727.811990270397,25.477116128952346,-32.96644360619156,639.0
281,270,671.5,329.0928626338964,0.9991887019199153,1.5,1.0,8343.07607195563,25.451695104598716,-32.95213342842801,670.0
332,321,662.5,329.0685792976783,1.0907695209291444,1.5,1.0,9866.171917300833,25.44928275775827,-32.96422167303638,661.0
200,189,684.5,328.92386869113216,1.9122628006752247,3.5,1.0,5934.664266709499,25.452163723398034,-32.936132994134375,683.0
127,116,694.5,328.86546572107,1.864551725127086,2.5,0.0,3750.5560659127796,25.43868301737061,-32.94336816549174,693.0
226,215,680.5,328.124597506825,2.4537996984492008,3.5,1.0,6709.837214840601,25.452841255410075,-32.94249043161571,679.0
106,95,697.5,323.6409407857668,1.5550533823242279,2.5,1.0,3124.0382900283244,25.432580577646213,-32.94197530109982,696.0
19,8,708.5,320.0273017067758,1.6874840042711146,2.5,0.0,549.5573146024597,25.420720734699284,-32.93015870416745,707.0
36,25,706.5,319.0621961033587,1.2811717359587265,1.5,1.0,1048.006045022834,25.423441340515282,-32.93176396401785,705.0
375,365,653.5,299.7080266670091,2.100037638296818,3.5,0.0,11152.57244056517,25.458425407445848,-32.96183360603577,652.0
293,283,669.5,299.700635532703,1.5500001782519766,2.5,1.0,8702.776707488163,25.45068996768354,-32.95525428494722,668.0
